PAR DATA OBJ FUNC DATA TYPE
 27  28    2           0
TRUE PARAMETER VALUES:
    0.0200    0.0060    0.1493    0.0001    2.8502    0.0200    0.0060    0.1493    0.0001    2.8502    0.0200    0.0060    0.1493    0.0001    2.8502    0.0200    0.0060    0.1493    0.0001    2.8502    0.0200    0.0060    0.0200    0.0060    0.1493    0.0001    2.8502
INDEX OF PARAMETERS TO BE OPTIMIZED:
    1    2    3    4    5    6    7    8    9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27
DATE [YEAR:MONTH:DAY]     Q[m^3]
1   0.008
2   0.006
3   0.004
4   0.003
5   0.002
6   0.002
7   0.001
8   0.001
9   0
10  0.001
11  0
12  0
13  0
14  0
15  0
16  2.82
17  15.028
18  2.745
19  0.409
20  0.172
21  0.063
22  0.051
23  0.124
24  86.507
25  44.279
26  6.022
27  93.93
28  23.041
29  15.168
30  10.378
31  3.244
32  1.569
33  1.611
34  1.15
35  0.687
36  0.446
37  0.318
38  0.2
39  1.088
40  1.683
41  0.33
42  0.145
43  12.061
44  10.692
45  2.198
46  0.538
47  0.296
48  0.156
49  0.097
50  0.072
51  0.048
52  0.067
53  2.362
54  20.479
55  15.274
56  68.555
57  12.337
58  4.055
59  2.691
60  2.067
61  1.676
62  1.397
63  1.22
64  1.154
65  52.407
66  12.646
67  4.182
68  2.493
69  1.935
70  1.536
71  1.322
72  1.194
73  1.122
74  8.796
75  5.367
76  4.295
77  20.352
78  13.42
79  3.135
80  3.365
81  3.147
82  25.832
83  12.832
84  3.59
85  2.312
86  1.843
87  1.533
88  1.371
89  1.246
90  1.128
91  1.041
